,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
150,Confiture De Fraises Aux Pétales De Roses,6,c,987,0.0,58.0,1.0,0.4,0.0,12.4
151,Pétales aux fruits rouges riz et blé complet,8,c,1626,0.4,19.0,4.2,9.2,0.4,14.8
152,Spécial K Nourish Chocolat et Noix de Coco,7,c,1678,1.9,15.0,9.2,11.0,0.292,15.4
153,Petale Riz et Ble Complet,4,c,1582,0.6,15.0,2.8,7.9,0.3,15.4
154,Pétales de céréales & copeaux de chocolat sans gluten,6,c,1669,2.6,15.0,4.8,7.6,0.256,14.6
155,Forme Fruits Rouges,10,c,1531,0.7,15.1,3.7,12.7,0.6,14.8
156,Les frenchchips,6,c,1879,1.8,5.2,5.3,6.1,0.444,15.2
157,Pétales à la pomme de terre,10,c,1891,1.4,1.4,5.3,6.0,0.84,14.8
158,Barres Céréales Chocolat,10,c,1770,4.2,24.0,8.1,5.3,0.152,14.2
159,Pétales de blé au chocolat,7,c,1632,1.7,30.0,7.0,9.0,0.092,15.2
160,Déliform Chocolat Noir,9,c,1660,3.8,28.9,5.7,8.3,0.144,14.8
161,Pétale de blé au goût de chocolat,9,c,1594,0.7,32.0,5.1,7.6,0.312,15.0
162,Fitness Chocolat Noir,9,c,1665,4.5,16.6,7.9,8.8,0.3,13.2
163,Pétales chocolat,6,c,1577,1.3,26.8,8.6,9.3,0.168,15.6
164,Pétales de Spiruline Crue,5,c,1565,2.9,0.4,0.0,68.3,0.392,17.0
165,Pétales de Maïs Glacés au Sucre,10,c,1632,0.2,19.9,1.5,7.7,0.296,14.8
166,Pétales de Maïs Nature,8,c,1561,0.2,7.0,3.0,8.0,0.62,15.8
167,Apple & Cinnamon Flakes,8,c,1601,0.3,15.4,2.9,11.3,0.372,15.8
168,Pétales & Form' Chocolat noir,6,c,1674,2.6,15.0,6.8,7.6,0.26,14.8
169,Chocapic (nouvelle recette),7,c,1645,1.8,28.8,6.2,8.1,0.1524,15.2
170,Special K - Noisettes et Amandes effilées,7,c,1666,0.8,18.0,4.5,9.0,0.4064,14.8
171,Pétales de blé au chocolat,7,c,1636,1.7,28.0,7.0,11.0,0.12192,15.2
172,Special K Pêche Abricot,8,c,1588,0.3,19.0,4.5,8.0,0.4,15.2
173,Vita Choco,8,c,1619,0.5,23.0,3.5,9.2,0.252,16.0
174,Special Flakes Chocolate,9,c,1716,3.8,16.5,4.0,11.5,0.22352,14.8
175,Bran'form nature,8,c,1520,0.4,17.0,15.0,13.0,0.6096,15.0
176,Corn flakes,4,c,1620,0.3,5.0,2.7,7.6,0.5,15.6
177,Chocapic Original,7,c,1628,1.8,28.8,6.2,8.1,0.152,15.2
178,"Pétales Seigle, airelles, amandes et graines de lin",7,c,1651,1.5,21.0,8.3,11.0,0.36,15.2
179,Special Flakes Chocolate,9,c,1716,3.8,16.5,4.0,11.5,0.22,14.8
180,Pétales aux trois céréales Nature,5,c,1573,0.2,10.0,0.0,8.7,0.44,14.8
181,Pétales O Choc,7,c,1561,2.3,20.3,9.5,9.5,0.184,15.4
182,Pétales de Céréales au Goût de Chocolat,8,c,1625,1.2,25.0,5.0,9.5,0.32004,15.4
183,Life Chocolat,6,c,1820,2.5,17.0,8.0,8.0,0.168,15.4
184,Les Frenchips goût Poivre noir et Sel,8,c,1881,1.7,5.2,5.3,5.7,0.572,14.6
185,Pétales de Blé au Chocolat,9,c,1682,1.4,34.0,6.4,8.7,0.152,15.4
186,Flakers Choco,8,c,1610,1.0,28.8,5.0,8.8,0.27432,14.8
187,Special K fruits rouges,7,c,1592,0.2,19.0,5.0,9.0,0.372,16.0
188,Forme Flakes Nature,10,c,1570,0.5,13.0,3.0,13.0,0.7112,13.8
189,Spécial K au chocolat au lait,12,d,1657,2.5,22.0,1.2,8.8,0.34,13.0
190,Pétales aux lentilles nature BIO,15,d,1926,1.8,1.2,0.0,13.0,0.88,12.4
191,Frosties,13,d,1594,0.1,37.0,2.0,4.5,0.332,10.9
192,FROSTIES,13,d,1569,0.1,37.0,2.0,4.5,0.332,10.9
193,Pétales de patate douce bio,15,d,2239,4.0,27.0,0.0,4.3,0.12,12.4
194,Roses Des Sables Choc Noir,13,d,1972,13.7,15.6,5.7,7.5,0.012,12.4
195,Pétales de maïs sucrés,13,d,1616,0.5,24.0,2.7,6.5,0.6,13.6
196,Spiruline en Petales,17,d,1552,3.2,0.0,0.0,68.9,1.96,13.1
197,Pétales goût salé,14,d,2035,1.6,0.5,3.5,5.2,1.016,12.5
198,Pétales salés,14,d,2029,2.1,0.5,4.0,3.5,0.96,13.4
199,Corn Fakes Choco,12,d,1611,1.2,24.0,0.0,6.1,0.22,13.6
200,Fruits et Fibres,12,d,1676,5.0,23.0,9.0,9.0,0.352,10.8
201,Pétales de saumon fumé,15,d,1100,2.7,0.5,0.0,23.0,1.08,12.4
202,Cruesli crispy chocolat,14,d,1895,4.3,17.0,0.0,7.6,0.2,11.4
203,Confit De Pétales De Violettes,12,d,833,0.1,50.0,0.0,0.5,0.008,12.4
204,Confit de pétales de roses,13,d,1025,0.1,61.0,0.0,0.5,0.016,12.4
205,Confit de pétales de roses,13,d,1105,0.1,55.0,0.0,0.5,0.008,11.9
206,Confit de pétales de rose,13,d,1025,0.1,61.0,0.0,0.5,0.016,12.4
207,Confit de pétales de rose,13,d,1080,0.01,61.0,0.0,0.3,0.0032,12.4
208,Confit de pétales de rose,12,d,832,0.0,49.0,0.0,0.0,0.0,12.4
209,Confit de pétales de rose de Provence,13,d,1124,0.1,55.0,0.5,0.5,0.008,11.9
210,Pétales de rose,13,d,1205,0.1,71.0,0.0,0.5,0.014,11.9
211,Pétales de roses,13,d,1205,0.1,71.0,0.0,0.5,0.012,11.9
212,Spécialité de Rose,12,d,987,0.0,59.0,0.0,0.0,0.0,12.4
213,Petales de rose,13,d,1025,0.1,61.0,0.0,0.5,0.016,12.4
214,Pétales de  Paleta PATA NEGRA,18,d,1187,5.6,0.5,0.0,34.0,2.16,9.1
215,Pétales De Saumon Fumé Sauvage,11,d,502,0.5,0.3,0.0,23.8,1.32,13.8
216,Pétales salés,13,d,2049,2.0,0.5,4.3,4.3,0.96,13.4
217,Les recettes belin fines au four goût fromage frais et oignon,12,d,1862,1.8,5.3,5.1,5.3,1.58,11.3
218,Pétales à la crevette,16,d,2233,2.8,7.0,1.7,2.1,0.76,12.0
219,Pétales de maïs,12,d,1548,0.3,30.0,0.0,5.0,0.252,14.2
220,Pétales de saumon fumé,13,d,741,1.4,0.0,0.0,23.0,1.12,13.0
221,Pétale de Blé Goût Cacao,11,d,1619,1.3,23.3,0.0,10.6,0.12,14.2
222,Pétales salés,18,d,2117,2.4,1.0,0.0,3.3,0.96,12.4
223,Pétales de riz et blé complet chocolat noir,16,d,1661,3.8,26.6,0.0,10.8,0.4,12.4
224,Pétales de mais Corn flakes,13,d,1569,0.6,6.5,0.0,7.9,0.76,12.8
225,Pétales salés,14,d,2029,2.1,0.5,4.0,3.5,0.96,13.4
226,Pétales de coco,11,d,2674,51.0,16.0,15.0,6.2,0.44,9.8
227,Fibra Flakes Choco,11,d,1669,3.9,20.0,10.0,9.7,0.52,13.6
228,Choco Shells,11,d,1615,1.4,29.4,0.0,9.1,0.088,13.6
229,Riz et blé complet chocolat,12,d,1709,4.0,22.0,4.0,9.4,0.4064,13.2
230,Pétales Chocolat au Lait,12,d,1703,3.1,25.0,3.8,7.7,0.332,13.4
231,"Pétales de riz, blé complet et orge chocolat noir",16,d,1715,4.1,22.0,0.0,7.6,0.32,11.8
232,Pétales de riz au blé complet et orge fruits rouges,12,d,1565,0.2,19.0,0.0,7.9,0.372,13.6
233,Petales de ble.complet et riz,11,d,1552,0.2,16.0,0.0,8.4,0.4,14.4
234,Pétales de betterave bio,18,d,2055,3.0,45.2,0.0,4.9,0.064,9.1
235,Le pétale des glaciers,18,d,2165,8.8,1.4,0.0,5.4,0.392,10.0
236,Pétales de maïs enrobés au sucre,13,d,1590,0.6,24.4,2.8,6.5,0.6,13.6
237,Petales de Cereales Bio,12,d,1728,5.8,11.0,0.0,9.0,0.024,10.2
238,Crowni Special flakes,17,d,1745,8.1,26.0,6.1,6.4,0.4,9.6
239,Parmigiano Reggiano 28 % En Pétales,17,d,1682,20.0,0.0,0.0,32.0,0.64,12.4
