productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
Pétales de riz et blé complet chocolat noir,16,d,1661,3.8,26.6,0,10.8,0.4
Pétales de mais Corn flakes,13,d,1569,0.6,6.5,0,7.9,0.76
Pétales salés,14,d,2029,2.1,0.5,4,3.5,0.96
Pétales de coco,11,d,2674,51,16,15,6.2,0.44
Fibra Flakes Choco,11,d,1669,3.9,20,10,9.7,0.52
Choco Shells,11,d,1615,1.4,29.4,0,9.1,0.088
Riz et blé complet chocolat,12,d,1709,4,22,4,9.4,0.4064
Pétales Chocolat au Lait,12,d,1703,3.1,25,3.8,7.7,0.332
"Pétales de riz, blé complet et orge chocolat noir",16,d,1715,4.1,22,0,7.6,0.32
Pétales de riz au blé complet et orge fruits rouges,12,d,1565,0.2,19,0,7.9,0.372
Petales de ble.complet et riz,11,d,1552,0.2,16,0,8.4,0.4
Pétales de betterave bio,18,d,2055,3,45.2,0,4.9,0.064
Le pétale des glaciers,18,d,2165,8.8,1.4,0,5.4,0.392
Pétales de maïs enrobés au sucre,13,d,1590,0.6,24.4,2.8,6.5,0.6
Petales de Cereales Bio,12,d,1728,5.8,11,0,9,0.024
Crowni Special flakes,17,d,1745,8.1,26,6.1,6.4,0.4
Parmigiano Reggiano 28 % En Pétales,17,d,1682,20,0,0,32,0.64
Pétale Grana Padano,15,d,1665,18,0,0,33,0.6
Pétales de maïs sucré,14,d,1602,0.1,25,0,6,0.5
Déliform Chocolat Noir,12,d,1707,3.9,23,3.8,7.4,0.32
Pétales de riz et de blé complet avec copeaux de Chocolat Noir,13,d,1710,3.67,25.7,3.67,8.33,0.333
Kellogg's Frosted Flakes,11,d,1586,0,34.48,0,1,0.06
Sugar Flakes,12,d,1577,0.2,28,3.5,6,0.52
Parmigiano Reggiano Pétales,16,d,1640,20,0,0,32,0.64
Fruits & fibres,11,d,1665,5,23,9,9,0.36
Pétales de panais au romarin,16,d,2226,4.2,29.7,0,3.7,0
Pétales salés,17,d,2029,2,1,0,3.6,0.96
Noir cranberries céréales,18,d,2264,23,32,9,7.3,0.0268
Pétales de riz blé complet & orge chocolat,16,d,1732,4.2,21,0,5.8,0.28
Pétales Maïs glacés au sucre,13,d,1602,0.4,35,3.3,5.5,0.508
Pétales de maïs sucrés,15,d,1611,0.2,28,0,6,0.520192
Choco Corn Flakes,17,d,1695,3.6,25.7,4,6.3,0.8
Pétales de blé au chocolat,11,d,1619,1.2,27,0,9.3,0.12
Pétales soufflés croquants,13,d,2046,2,1,4,3.5,0.96
Grana Padano 28 % En Pétales,15,d,1665,18,0,0,33,0.6
Pétales de maïs glacés au sucre,12,d,1611,0.2,28.2,3.5,6,0.52
Pétales de Céleri,13,d,2151,4.2,12.5,0,5.8,0.32
Snow flakes,11,d,1648,0.4,30,2.6,6.2,0.3
Petales ondulés poivre & sel,17,d,2188,3,2.9,0,4.2,0.88
Pétales salés,14,d,2029,2.1,0.5,4,3.5,0.96
Pétales Salés,17,d,2042,1.9,0.5,0,3.3,1.308
Pétales Cereales Chocolat Noir,11,d,1715,4.1,22,5,7.6,0.32
Pétales de Céréales & Chocolat,12,d,1686,3.1,25,3.8,7.7,0.32
Pétales 3 céréales chocolat au lait,12,d,1686,3.1,25,3.8,7.7,0.32
Tete De Moine Petales,18,d,1678,20,0.1,0,25,0.76
Grana Padano En Pétale 80 GR LS,15,d,1665,18,0,0,33,0.6
Pétales Jambon Serrano,14,d,874,2.9,0.5,0,34,2.2
Cracker Crisps Paprika (60 % de matières grasses en moins),11,d,1712,1.5,5,7,5,0.82
Pétales Sucrés Céréales et Lait,17,d,1761,5.6,35,3.6,5.7,0.292
Barres riz & blé complet Fruits rouges,14,d,1599,0.7,37,2.1,6.9,0.43688
Pétales copeaux de chocolat,12,d,1728,3.9,23,3.9,8.8,0.36
Pétale de Maïs,11,d,1634,0.2,5.7,3.4,8.5,0.88
Pétales salés,13,d,2029,2,1,4.1,3.6,0.972
Forme & Chocolat au Lait,14,d,1761,4,19.5,0,7.6,0.24
Pétales de Coco,15,d,2427,46,23,14,5.1,0.56
Pétales de jambon de Vendée PETITGAS,16,d,900,4.4,0.5,0,25,1.64
Confiture framboise pétales de rose,11,d,967,0.1,53,0,0.9,0
Qrex - Frosted Flakes,16,d,1573,0.4,35,0,5,0.5
Pétales riz & blé complet aux copeaux de chocolat,11,d,1732,4.2,21,5.8,7.9,0.28
Spécialité gourmande pétale de rose,11,d,1000,0,52.7,0,0.012,0.0116
Petales de jambon cru,16,d,916,4.9,0.5,0,24.4,1.96
Barres céréales pétales chocolatées talon lait,17,d,1760,8.8,32.9,4,6.8,0.12
Pétales goût Salé,15,d,2029,2.1,1,3.5,3.5,0.96
Pétales Salés,14,d,1992,2.2,1,3.5,3.5,0.96
Flakes maïs,11,d,1582,0.2,27,3.5,5.7,0.52
Chocapic Coeur fondant - Maxi format,11,d,1728,4,30,5.6,8.2,0.208
Pétales goût salé,13,d,2062,2,0.5,4.5,4.3,0.97536
Pétales salés,16,d,1909,1.6,0.5,0,3.6,1.592
Déliform Chocolat Poire,12,d,1684,4,34.8,4.6,7.3,0.136
Pétales de riz et de blé complet aux copeaux de chocolat noir,12,d,1719,4,24,4,9,0.3556
Sugar Flakes,12,d,1611,0.2,28.2,3.5,6,0.5
Chocapic Barres,17,d,1703,8.1,28.4,3.6,7.6,0.16
Pétales de maïs croustillants,11,d,1589,0.2,5.7,3.4,8.1,0.88
Corn flakes,11,d,1570,0.1,3.8,3.4,7.7,0.92
Chocolat Lait Maïs Bio,21,e,2320,23.3,38.1,3.8,8.6,0.112
Mini Cookies,26,e,2100,14,36,0,6.7,0.272
Pétales de coco curry thaï,31,e,2675,41,33,0,4.4,0.68
Gaufres de Liège aux oeufs frais pétales de sucre,23,e,1845,10.5,29.4,0.9,5,0.24
Mini roses des Sables,29,e,2118,16.3,45.5,0,6.9,0.312
Pétales de Tompinambour,19,e,2029,11,15.3,0,4.3,0.02
Pétales de carotte au thym,22,e,2105,3.1,43.5,0,3.2,0.384
"Pétales De Saucisson Finement Tranchés, Bio,",24,e,1431,10.7,0,0,21.52,1.64
Pétales de jambon cru - Aoste,19,e,1134,6.5,0.5,0,33,2.2
Crowni Pétales de cacao,23,e,1757,7.5,34.7,0,5.4,0.44
Barres de céréales et pétales de maïs talon lait,20,e,1809,8.8,34.4,1.8,4.3,0.16
Pétales AOSTE,19,e,1133,6.5,0.5,0,33,2.31648
Chocolat blanc noix de coco pétales de maïs,27,e,2368,26.4,42,0,6.6,0.156
Chocolat lait Pétales de violette,26,e,2251,20.3,51.4,0,6.5,0.08
Roses au Chocolat Noir,23,e,2017,13.2,31.9,0,6.3,0.08
Pétales de coco toastées auto four,20,e,2435,42,34,14,4.8,0.36
Pétales chocolat au lait/caramel,27,e,2226,19.6,45.1,0,6.9,0.112
"Chocolat Lait - Amande, Pétale de céréales",20,e,2423,20.4,34.1,4.1,11.2,0.08
Extra Fin Noir Croustillant,21,e,2255,21,47,6,4.1,0.052
Dragées cœur pétale d'amour (vert tilleul),25,e,2025,9.2,71.4,0,3.56,0.0268
Noir pétales de rose,24,e,2339,23,39,0,7.1,0.008
Chocolat blanc coco céréales,25,e,2342,25.2,45.2,2.4,6.3,0.152
Terrine chocolatée aux noisettes et pétales de maïs,20,e,2201,5.03,48.43,0,6.5,0.08
